Date,Open,High,Low,Close,Volume,Dividend,Split,Adj Open,Adj High,Adj Low,Adj Close,Adj Volume
4/28/2014,79.53,81.15,79.33,80.17,14562400,0,1,69.44732889,70.86194819,69.27268453,70.00619084,14562400
4/25/2014,79.41,79.7,79.03,79.38,6381400,0,1,69.34254228,69.5957766,69.010718,69.31634562,6381400
4/24/2014,78.97,79.81,78.72,79.77,7271600,0,1,68.95832469,69.69183099,68.74001924,69.65690212,7271600
4/23/2014,79.87,80.05,78.4401,78.52,7497000,0,1,69.7442243,69.90140422,68.49560446,68.56537489,7497000
4/22/2014,78.74,80.23,78.63,79.67,11188400,0,1,68.75748368,70.05858414,68.66142928,69.56957994,11188400
4/21/2014,78.35,78.35,77.67,77.96,6253300,0,1,68.41692718,68.41692718,67.82313636,68.07637068,6253300
4/17/2014,76.26,77.68,75.91,77.09,6875600,0,1,66.59189364,67.83186858,66.28626602,67.31666773,6875600
4/16/2014,76.42,76.58,75.8,76.58,6104700,0,1,66.73160913,66.87132461,66.19021162,66.87132461,6104700
4/15/2014,76.29,76.4,74.61,75.89,7022900,0,1,66.6180903,66.71414469,65.15107769,66.26880158,7022900
4/14/2014,76.3,76.86,75.51,75.97,8677200,0,1,66.62682251,67.11582672,65.9369773,66.33865932,8677200
4/11/2014,76.62,77.06,75.65,75.7,8399100,0,1,66.90625349,67.29047107,66.05922835,66.10288944,8399100
4/10/2014,77.62,78.22,76.7,76.78,6201500,0,1,67.77947527,68.30340835,66.97611123,67.04596897,6201500
4/9/2014,77.24,77.93,77.14,77.76,8027600,0,1,67.44765099,68.05017403,67.36032882,67.90172633,8027600
4/8/2014,76.91,77.44,76.42,77.11,7371000,0,1,67.1594878,67.62229535,66.73160913,67.33413216,7371000
4/7/2014,78.69,78.69,77.03,77.13,11121300,0,1,68.71382259,68.71382259,67.26427442,67.3515966,11121300
4/4/2014,79.64,79.7,78.49,78.72,6422000,0,1,69.54338329,69.5957766,68.53917823,68.74001924,6422000
4/3/2014,79.95,80.02,78.98,79.4,5505400,0,1,69.81408204,69.87520757,68.96705691,69.33381006,5505400
4/2/2014,79.54,80.76,79.485,79.95,6611700,0,1,69.45606111,70.52139169,69.40803391,69.81408204,6611700
4/1/2014,79.24,80.29,79.24,79.38,6697600,0,1,69.19409457,70.11097745,69.19409457,69.31634562,6697600
3/31/2014,79.21,79.33,78.84,79.13,5736200,0,1,69.16789792,69.27268453,68.84480586,69.09804018,5736200
3/28/2014,78.92,79.5,78.49,78.72,5132700,0,1,68.9146636,69.42113224,68.53917823,68.74001924,5132700
3/27/2014,78.63,79.02,78.37,78.68,5803300,0,1,68.66142928,69.00198578,68.43439162,68.70509037,5803300
3/26/2014,79.49,79.78,78.7,78.87,6364600,0,1,69.41240002,69.66563434,68.72255481,68.87100251,6364600
3/25/2014,80.05,80.09,79.1599,79.47,5375500,0,1,69.90140422,69.93633309,69.12414951,69.39493558,5375500
3/24/2014,80.41,80.46,79.2,79.66,7574200,0,1,70.21576407,70.25942516,69.1591657,69.56084772,7574200
3/21/2014,80.78,81.9,80.25,80.42,10086100,0,1,70.53885613,71.51686453,70.07604858,70.22449628,10086100
3/20/2014,79.71,80.24,79.47,80.09,5097800,0,1,69.60450881,70.06731636,69.39493558,69.93633309,5097800
3/19/2014,79.97,80.485,79.4,79.75,6568400,0,1,69.83154648,70.2812557,69.33381006,69.63943769,6568400
3/18/2014,79.65,80.56,79.62,79.82,5032600,0,1,69.55211551,70.34674733,69.52591885,69.70056321,5032600
3/17/2014,79.57,80.185,79.25,79.58,5547600,0,1,69.48225776,70.01928916,69.20282679,69.49098998,5547600
3/14/2014,78.82,79.88,78.79,79.38,6739000,0,1,68.82734142,69.75295652,68.80114477,69.31634562,6739000
3/13/2014,81.06,81.06,78.72,78.8,7665800,0,1,70.78335823,70.78335823,68.74001924,68.80987699,7665800
3/12/2014,80.73,80.85,80.24,80.56,7048700,0,1,70.49519504,70.59998165,70.06731636,70.34674733,7048700
3/11/2014,81.69,81.8499,81.05,81.29,4667900,0.47,1,71.33348796,71.47311612,70.77462601,70.98419924,4667900
3/10/2014,82.44,82.54,81.73,82.18,4139000,0,1,71.57457663,71.66139684,70.95815318,71.3488441,4139000
3/7/2014,82.61,82.67,82.04,82.55,5287700,0,1,71.72217098,71.7742631,71.22729581,71.67007886,5287700
3/6/2014,82.78,82.89,82.23,82.41,6168400,0,1,71.86976533,71.96526755,71.3922542,71.54853057,6168400
3/5/2014,82.91,83.2,82.575,82.91,5069900,0,1,71.98263159,72.23441019,71.69178391,71.98263159,5069900
3/4/2014,82.89,83.2,82.71,82.87,6367600,0,1,71.96526755,72.23441019,71.80899118,71.94790351,6367600
3/3/2014,80.73,82.0299,80.62,82,8359500,0,1,70.08995113,71.21852697,69.99444891,71.19256773,8359500
2/28/2014,81.89,83.1,81.39,82.03,7239600,0,1,71.09706551,72.14758998,70.66296448,71.21861379,7239600
2/27/2014,81.66,82.2,80.61,81.97,6040900,0,1,70.89737904,71.36620814,69.98576689,71.16652167,6040900
2/26/2014,80.99,82.71,80.79,81.7,9737800,0,1,70.31568367,71.80899118,70.14204326,70.93210712,9737800
2/25/2014,79.68,81,79.33,80.98,13421700,0,1,69.17833899,70.32436569,68.87446827,70.30700165,13421700
2/24/2014,77.84,78.25,77.46,77.87,11739500,0,1,67.58084722,67.93681006,67.25093045,67.60689328,11739500
2/21/2014,77.36,78.04,77.36,77.74,7764500,0,1,67.16411024,67.75448763,67.16411024,67.49402702,7764500
2/20/2014,76.59,77.56,76.54,77.48,5852200,0,1,66.49559467,67.33775065,66.45218456,67.26829449,5852200
2/19/2014,77.25,77.52,76.4,76.45,7767800,0,1,67.06860802,67.30302257,66.33063628,66.37404638,7767800
2/18/2014,77.92,78.08,77.07,77.57,4954700,0,1,67.65030339,67.78921571,66.91233165,67.34643267,4954700
2/14/2014,77.75,78.13,77.32,77.93,4752300,0,1,67.50270904,67.83262582,67.12938216,67.65898541,4752300
2/13/2014,77.34,77.8654,76.94,77.59,6586900,0,1,67.1467462,67.60289955,66.79946538,67.36379671,6586900
2/12/2014,76.91,77.33,76.67,77.28,7345900,0,1,66.77341932,67.13806418,66.56505083,67.09465408,7345900
2/11/2014,76.44,76.99,76.17,76.7,6292900,0,1,66.36536436,66.84287548,66.13094981,66.59109689,6292900
2/10/2014,76.56,76.59,75.88,76.41,6343600,0,1,66.4695486,66.49559467,65.87917121,66.3393183,6343600
2/7/2014,76.17,76.6,75.85,76.45,6194200,0,1,66.13094981,66.50427669,65.85312515,66.37404638,6194200
2/6/2014,75.19,76.2,75.17,76.16,6107100,0,1,65.2801118,66.15699587,65.26274776,66.12226779,6107100
2/5/2014,74.73,75.545,73.96,75.26,10080300,0,1,64.88073886,65.58832353,64.21222329,65.34088595,10080300
2/4/2014,75.51,75.85,74.17,74.97,9573400,0,1,65.55793646,65.85312515,64.39454572,65.08910735,9573400
2/3/2014,76.64,76.73,74.93,75.09,9527000,0,1,66.53900477,66.61714295,65.05437927,65.1932916,9527000
1/31/2014,76.2,77.47,75.85,76.85,10592200,0,1,66.15699587,67.25961247,65.85312515,66.7213272,10592200
1/30/2014,77.23,77.76,76.6499,76.93,6820900,0,1,67.05124397,67.51139106,66.54759997,66.79078336,6820900
1/29/2014,78.28,78.75,76.63,76.68,9195300,0,1,67.96285612,68.37091108,66.53032275,66.57373285,9195300
1/28/2014,78.42,78.93,77.821,78.54,10586500,0,1,68.08440441,68.52718745,67.56435138,68.18858865,10586500
1/27/2014,78.86,79.17,78.52,78.94,6591200,0,1,68.46641331,68.73555594,68.17122461,68.53586947,6591200
1/24/2014,79.61,80,79.16,79.16,7118300,0,1,69.11756484,69.45616364,68.72687392,68.72687392,7118300
1/23/2014,79.62,80.3,79.19,80.24,6387000,0,1,69.12624686,69.71662425,68.75291998,69.66453213,6387000
1/22/2014,80.66,80.81,79.92,80.2,5821600,0,1,70.02917699,70.1594073,69.38670748,69.62980405,5821600
1/21/2014,81.3,81.5,79.81,80.46,6932800,0,1,70.5848263,70.75846671,69.29120525,69.85553658,6932800
1/17/2014,81.32,81.35,80.65,81,6178000,0,1,70.60219034,70.6282364,70.02049497,70.32436569,6178000
1/16/2014,80.9,81.38,80.78,81.26,4871200,0,1,70.23754548,70.65428246,70.13336124,70.55009822,4871200
1/15/2014,80.85,81.43,80.74,81.07,5196800,0,1,70.19413538,70.69769257,70.09863315,70.38513983,5196800
1/14/2014,81.28,81.488,80.61,81.01,5217300,0,1,70.56746226,70.74804828,69.98576689,70.33304771,5217300
1/13/2014,81.61,82.13,80.96,80.97,6952400,0,1,70.85396893,71.305434,70.2896376,70.29831963,6952400
1/10/2014,81.72,82.04,81.42,82.01,4981000,0,1,70.94947116,71.22729581,70.68901055,71.20124975,4981000
1/9/2014,81.9,81.94,80.975,81.57,4966000,0,1,71.10574753,71.14047561,70.30266064,70.81924085,4966000
1/8/2014,81.54,81.94,81.03,81.93,4662300,0,1,70.79319479,71.14047561,70.35041175,71.13179359,4662300
1/7/2014,81.31,81.92,81.08,81.5,4630900,0,1,70.59350832,71.12311157,70.39382185,70.75846671,4630900
1/6/2014,81.65,81.98,81.1,81.1,11188800,0,1,70.88869702,71.17520369,70.41118589,70.41118589,11188800
1/3/2014,81.91,82.48,81.83,81.89,3897900,0,1,71.11442955,71.60930471,71.04497338,71.09706551,3897900
1/2/2014,82.11,82.57,81.8,82.02,4253400,0,1,71.28806996,71.6874429,71.01892732,71.20993177,4253400
12/31/2013,81.99,82.47,81.715,82.34,4493600,0,1,71.18388571,71.60062269,70.94513015,71.48775643,4493600
12/30/2013,81.67,81.98,81.459,81.94,3526400,0,1,70.90606106,71.17520369,70.72287043,71.14047561,3526400
12/27/2013,81.65,82.24,81.22,81.64,3961900,0,1,70.88869702,71.40093622,70.51537014,70.880015,3961900
